Genre,Report,Employee Age,Employee Role,Gender
Workload and Stress,"Shifts are irregular and unpredictable, causing stress.",58,Manager,Male
Workload and Stress,I have too many responsibilities without proper support.,22,Intern,Female
Workload and Stress,Last-minute changes to projects are causing stress.,33,Junior,Male
Workload and Stress,Vacations are disrupted by work expectations.,30,Junior,Male
Workload and Stress,There's not enough staff to handle the workload.,49,Senior,Male
Workload and Stress,My work-life balance is completely out of sync.,38,Junior,Male
Workload and Stress,Micromanagement is making the workload worse.,60,Manager,Male
Workload and Stress,Performance expectations are unrealistically high.,60,Manager,Male
Workload and Stress,Overtime isn't recognized or rewarded.,50,Manager,Male
Workload and Stress,I'm not trained properly for the tasks assigned.,21,Intern,Female
Workload and Stress,I fear losing my job due to the workload.,26,Junior,Female
Workload and Stress,Prioritizing tasks is difficult due to unclear guidance.,44,Senior,Male
Workload and Stress,Stress is causing high turnover in our team.,41,Senior,Male
Workload and Stress,I struggle to disconnect from work after hours.,58,Manager,Male
Workload and Stress,Flexible work arrangements aren't available.,53,Manager,Male
Workload and Stress,Constant interruptions disrupt my focus and productivity.,39,Junior,Male
Workload and Stress,Taking sick leave feels impossible due to workload.,42,Senior,Male
Workload and Stress,"Job roles are unclear, causing confusion and stress.",36,Junior,Male
Workload and Stress,Opportunities to learn new skills are limited.,30,Junior,Male
Workload and Stress,Stress management support is inadequate.,34,Junior,Male
Workload and Stress,Workload distribution across the team is inconsistent.,47,Senior,Male
Workload and Stress,Remote work stress is taking a toll on my well-being.,49,Senior,Male
Workload and Stress,Heavy workload is hindering career growth.,22,Intern,Female
Workload and Stress,Time management tools aren't effective.,28,Junior,Female
Workload and Stress,My work-life balance is not respected.,43,Senior,Male
Workload and Stress,Project expectations are communicated poorly.,30,Junior,Male
Workload and Stress,Working extra hours doesn't lead to recognition.,24,Intern,Female
Workload and Stress,Lack of control over work hours adds to stress.,39,Junior,Male
Workload and Stress,"Emergencies occur frequently, causing stress.",26,Junior,Female
Workload and Stress,Mental health days are not offered or supported.,59,Manager,Male
Workload and Stress,Processes are inefficient and cause delays.,38,Junior,Male
Workload and Stress,Professional development opportunities are limited.,50,Manager,Male
Workload and Stress,Workload expectations from management are unclear.,44,Senior,Male
Workload and Stress,Adequate breaks during shifts are not provided.,60,Manager,Male
Workload and Stress,Declining tasks feels risky due to workload pressure.,50,Manager,Male
Workload and Stress,Delegating tasks isn't supported or encouraged.,31,Junior,Male
Workload and Stress,Stress due to unpredictable workload is affecting my health.,54,Manager,Male
Workload and Stress,No provisions for managing peak workloads.,20,Intern,Female
Workload and Stress,Unpredictable workload leads to constant frustration.,48,Senior,Male
Workload and Stress,Dealing with heavy workload is impacting my performance.,44,Senior,Male
Workload and Stress,Support for stress management programs is lacking.,41,Senior,Male
Workload and Stress,Administrative tasks take up too much time.,20,Intern,Female
Workload and Stress,No relief from urgent tasks and deadlines.,21,Intern,Female
Workload and Stress,Performance targets seem unattainable.,28,Junior,Female
Workload and Stress,"Responsibilities keep piling up, and it's overwhelming.",22,Intern,Female
Workload and Stress,Workload distribution is uneven across team members.,53,Manager,Male
Workload and Stress,Remote work stress isn't adequately addressed.,37,Junior,Male
Workload and Stress,Personal commitments aren't accommodated.,42,Senior,Male
Workload and Stress,Opportunities for skill development are limited.,54,Manager,Male
Workload and Stress,Burnout prevention measures are not in place.,37,Junior,Male
Workload and Stress,Time management tools don't help with workload.,29,Junior,Female
Workload and Stress,Fear of missing opportunities is causing stress.,39,Junior,Male
Workload and Stress,Handling peak workloads without support is tough.,24,Intern,Female
Workload and Stress,Managing complex tasks without support is stressful.,55,Manager,Male
Workload and Stress,High-pressure tasks aren't adequately managed.,42,Senior,Male
Workload and Stress,No avenues for providing feedback on workload.,51,Manager,Male
Workload and Stress,Lack of autonomy in managing tasks adds to stress.,30,Junior,Male
Workload and Stress,Struggling to handle work volume is affecting my performance.,44,Senior,Male
Workload and Stress,Heavy workload goes unnoticed by management.,29,Junior,Female
Workload and Stress,Rapidly changing tasks lead to constant stress.,47,Senior,Male
Workload and Stress,Not enough support for handling high-pressure tasks.,36,Junior,Male
Workload and Stress,No tools to effectively manage time and workload.,23,Intern,Female
Workload and Stress,New tasks are added without considering current load.,43,Senior,Male
Workload and Stress,Managing workload feels impossible without proper tools.,23,Intern,Female
Workload and Stress,Balancing work and family commitments is challenging.,50,Manager,Male
Workload and Stress,No proper method for prioritizing tasks is provided.,18,Intern,Female
Workload and Stress,Consistent effort goes unrecognized by management.,33,Junior,Male
Workload and Stress,Peak workloads lead to inconsistency in work quality.,22,Intern,Female
Workload and Stress,Tasks keep piling up with no relief in sight.,46,Senior,Male
Workload and Stress,No provisions for taking short mental wellness breaks.,56,Manager,Male
Workload and Stress,Managing workload during peak times is overwhelming.,42,Senior,Male
Workload and Stress,No recognition for handling multiple projects.,20,Intern,Female
Workload and Stress,High-pressure tasks are not managed effectively.,25,Junior,Female
Workload and Stress,Time tracking tools are not helpful in managing workload.,24,Intern,Female
Workload and Stress,Overcommitting due to fear of missing out is stressful.,30,Junior,Male
Workload and Stress,Adequate support for managing deadlines is lacking.,24,Intern,Female
Workload and Stress,No avenues for addressing workload concerns are available.,56,Manager,Male
Workload and Stress,Peak workloads are not managed efficiently.,19,Intern,Female
Workload and Stress,Fear of underperforming due to workload pressure.,29,Junior,Female
Workload and Stress,Limited support for remote workers' stress.,22,Intern,Female
Workload and Stress,Flexible work arrangements aren't honored.,19,Intern,Female
Workload and Stress,Managing workload during emergencies is stressful.,43,Senior,Male
Workload and Stress,No channels for discussing workload challenges are provided.,52,Manager,Male
Workload and Stress,Constantly managing heavy workload is leading to burnout.,32,Junior,Male
Workload and Stress,Fear of saying no to new tasks is adding to my stress.,28,Junior,Female
Workload and Stress,Adequate support for handling peak workloads is missing.,37,Junior,Male
Workload and Stress,Lack of resources for stress management.,56,Manager,Male
Workload and Stress,No recognition for consistently going above and beyond.,53,Manager,Male
Workload and Stress,Unpredictable workload is causing frustration.,29,Junior,Female
Workload and Stress,No provisions for managing workload peaks are in place.,50,Manager,Male
Workload and Stress,Leaders' lack of engagement adds to stress.,57,Manager,Male
Workload and Stress,Time management tools are ineffective for workload.,47,Senior,Male
Workload and Stress,Lack of support for managing stress-related workload.,44,Senior,Male
Workload and Stress,Pressure from management is affecting my well-being.,57,Manager,Male
Management Lifestyle,Management is distant and lacks communication.,46,Senior,Male
Management Lifestyle,Supervisors don't provide clear directions.,54,Manager,Male
Management Lifestyle,Micromanagement stifles our autonomy.,49,Senior,Male
Management Lifestyle,Management doesn't support work-life balance.,51,Manager,Male
Management Lifestyle,"Leaders play favorites, creating a toxic environment.",41,Senior,Male
Management Lifestyle,Lack of support from management during challenges.,50,Manager,Male
Management Lifestyle,Leadership lacks transparency in decision-making.,56,Manager,Male
Management Lifestyle,Supervisors don't value employees' opinions.,28,Junior,Female
Management Lifestyle,Management lacks understanding of our roles.,25,Junior,Female
Management Lifestyle,Leadership doesn't listen to our concerns.,18,Intern,Female
Management Lifestyle,Frequent changes in direction disrupt our work.,27,Junior,Female
Management Lifestyle,Managers don't recognize our achievements.,60,Manager,Male
Management Lifestyle,Supervisors provide inconsistent feedback.,54,Manager,Male
Management Lifestyle,Leaders are more concerned about blame than solutions.,46,Senior,Male
Management Lifestyle,Management doesn't provide career growth opportunities.,35,Junior,Male
Management Lifestyle,Lack of leadership presence and involvement.,25,Junior,Female
Management Lifestyle,Supervisors don't provide adequate training.,38,Junior,Male
Management Lifestyle,"Management plays favorites, affecting promotions.",27,Junior,Female
Management Lifestyle,Leaders don't respect our work-life balance.,31,Junior,Male
Management Lifestyle,Micromanagement causes stress and frustration.,26,Junior,Female
Management Lifestyle,Managers make decisions without consulting us.,58,Manager,Male
Management Lifestyle,Supervisors don't offer support during difficult times.,38,Junior,Male
Management Lifestyle,Leadership is not transparent about company changes.,34,Junior,Male
Management Lifestyle,Management doesn't address our concerns.,46,Senior,Male
Management Lifestyle,Supervisors lack empathy for our challenges.,19,Intern,Female
Management Lifestyle,Leaders don't consider our input in decisions.,54,Manager,Male
Management Lifestyle,Micromanagement negatively impacts our creativity.,41,Senior,Male
Management Lifestyle,Managers lack understanding of our needs.,49,Senior,Male
Management Lifestyle,Supervisors don't advocate for necessary resources.,56,Manager,Male
Management Lifestyle,Leadership's lack of communication causes confusion.,29,Junior,Female
Management Lifestyle,Management's lack of direction hinders productivity.,20,Intern,Female
Management Lifestyle,Supervisors don't value our time and effort.,50,Manager,Male
Management Lifestyle,Leaders focus on criticism rather than development.,47,Senior,Male
Management Lifestyle,Managers create unnecessary bureaucracy.,22,Intern,Female
Management Lifestyle,Supervisors don't provide clear performance expectations.,35,Junior,Male
Management Lifestyle,Leadership's inconsistent messages confuse us.,51,Manager,Male
Management Lifestyle,Management's lack of support adds to stress.,22,Intern,Female
Management Lifestyle,Supervisors don't provide recognition for our work.,21,Intern,Female
Management Lifestyle,Leaders don't foster a collaborative environment.,50,Manager,Male
Management Lifestyle,Micromanagement erodes trust and motivation.,25,Junior,Female
Management Lifestyle,Managers don't acknowledge our contributions.,53,Manager,Male
Management Lifestyle,Supervisors don't encourage innovation.,52,Manager,Male
Management Lifestyle,Leadership's decisions seem arbitrary and sudden.,38,Junior,Male
Management Lifestyle,Management doesn't address conflicts in the team.,54,Manager,Male
Management Lifestyle,Supervisors don't offer growth opportunities.,32,Junior,Male
Management Lifestyle,Leadership's lack of clarity leads to misunderstandings.,56,Manager,Male
Management Lifestyle,Managers don't lead by example.,27,Junior,Female
Management Lifestyle,Supervisors don't provide enough support for growth.,41,Senior,Male
Management Lifestyle,Leaders don't communicate company vision effectively.,51,Manager,Male
Management Lifestyle,Micromanagement inhibits our problem-solving skills.,23,Intern,Female
Management Lifestyle,Management's lack of communication affects morale.,51,Manager,Male
Management Lifestyle,Supervisors don't provide timely feedback.,35,Junior,Male
Management Lifestyle,Leadership's lack of empathy affects team morale.,54,Manager,Male
Management Lifestyle,Managers don't prioritize employee development.,18,Intern,Female
Management Lifestyle,Supervisors don't promote a healthy work environment.,20,Intern,Female
Management Lifestyle,Leadership's lack of appreciation leads to demotivation.,21,Intern,Female
Management Lifestyle,Management's unclear expectations hinder our progress.,25,Junior,Female
Management Lifestyle,Supervisors don't involve us in decision-making.,29,Junior,Female
Management Lifestyle,Leadership's lack of involvement in projects is noticeable.,26,Junior,Female
Management Lifestyle,Micromanagement causes us to doubt our abilities.,51,Manager,Male
Management Lifestyle,Management's favoritism creates a divided team.,37,Junior,Male
Management Lifestyle,Supervisors don't provide opportunities for skill growth.,44,Senior,Male
Management Lifestyle,Leadership's lack of communication causes rumors.,29,Junior,Female
Management Lifestyle,Managers don't address conflicts within the team.,57,Manager,Male
Management Lifestyle,Supervisors don't value work-life balance.,37,Junior,Male
Management Lifestyle,Leadership's inconsistency affects our job satisfaction.,56,Manager,Male
Management Lifestyle,Management's lack of direction creates uncertainty.,32,Junior,Male
Management Lifestyle,Supervisors don't provide recognition for hard work.,43,Senior,Male
Management Lifestyle,Leadership's lack of support hinders our progress.,56,Manager,Male
Management Lifestyle,Micromanagement undermines our sense of ownership.,36,Junior,Male
Management Lifestyle,Management's decision-making lacks transparency.,22,Intern,Female
Management Lifestyle,Supervisors don't address our concerns effectively.,32,Junior,Male
Management Lifestyle,Leadership's lack of accountability affects morale.,49,Senior,Male
Management Lifestyle,Managers don't offer opportunities for advancement.,44,Senior,Male
Management Lifestyle,Supervisors don't encourage open communication.,44,Senior,Male
Management Lifestyle,Leadership's lack of engagement is demotivating.,20,Intern,Female
Management Lifestyle,Management's lack of feedback stalls our growth.,46,Senior,Male
Management Lifestyle,Supervisors don't handle conflicts in a constructive way.,38,Junior,Male
Management Lifestyle,Leadership's favoritism causes resentment.,21,Intern,Female
Management Lifestyle,Micromanagement stifles our creativity.,41,Senior,Male
Management Lifestyle,Managers don't provide proper guidance.,46,Senior,Male
Management Lifestyle,Supervisors don't provide adequate support during challenges.,18,Intern,Female
Management Lifestyle,Leadership's decisions don't align with company values.,44,Senior,Male
Management Lifestyle,Management's lack of direction affects our motivation.,30,Junior,Male
Management Lifestyle,Supervisors don't promote a collaborative culture.,22,Intern,Female
Management Lifestyle,Leadership's lack of transparency fuels uncertainty.,56,Manager,Male
Management Lifestyle,Managers don't appreciate our contributions.,18,Intern,Female
Management Lifestyle,Supervisors don't foster a sense of belonging.,32,Junior,Male
Management Lifestyle,Leadership's lack of involvement hampers teamwork.,41,Senior,Male
Management Lifestyle,Management's lack of understanding affects our efficiency.,27,Junior,Female
Management Lifestyle,Supervisors don't provide opportunities for learning.,43,Senior,Male
Management Lifestyle,Leadership's lack of consistency creates confusion.,39,Junior,Male
Management Lifestyle,Micromanagement undermines our self-confidence.,20,Intern,Female
Management Lifestyle,Managers don't address employee concerns effectively.,35,Junior,Male
Management Lifestyle,Supervisors don't advocate for fair treatment.,51,Manager,Male
Management Lifestyle,Leadership's lack of communication causes frustration.,28,Junior,Female
Management Lifestyle,Management's lack of empathy affects team morale.,40,Senior,Male
Management Lifestyle,Supervisors don't recognize our achievements.,39,Junior,Male
Management Lifestyle,Leadership's decisions don't reflect employee feedback.,49,Senior,Male
Management Lifestyle,Micromanagement affects our job satisfaction negatively.,25,Junior,Female
Compensation and Benefits,,57,Manager,Male
Compensation and Benefits,Lack of transparency about how bonuses are determined.,47,Senior,Male
Compensation and Benefits,Benefits package doesn't cover essential needs.,21,Intern,Female
Compensation and Benefits,Gender pay gap is evident in our salaries.,24,Intern,Female
Compensation and Benefits,Bonuses are infrequent and don't reflect performance.,48,Senior,Male
Compensation and Benefits,Raises are minimal and don't keep up with inflation.,60,Manager,Male
Compensation and Benefits,Benefits offered are not competitive.,25,Junior,Female
Compensation and Benefits,Salary increases are often denied without explanation.,42,Senior,Male
Compensation and Benefits,No clear link between performance and compensation.,20,Intern,Female
Compensation and Benefits,Leadership earns significantly more while employees struggle.,27,Junior,Female
Compensation and Benefits,Salary negotiations are met with resistance.,46,Senior,Male
Compensation and Benefits,No avenue for discussing salary disparities.,27,Junior,Female
Compensation and Benefits,No provisions for recognizing long-serving employees.,19,Intern,Female
Compensation and Benefits,Raises are promised but never materialize.,18,Intern,Female
Compensation and Benefits,Benefits don't adequately support our well-being.,24,Intern,Female
Compensation and Benefits,Company fails to acknowledge cost-of-living increases.,35,Junior,Male
Compensation and Benefits,Raises are distributed unevenly across departments.,44,Senior,Male
Compensation and Benefits,Benefits package hasn't been updated for years.,44,Senior,Male
Compensation and Benefits,Lack of transparency about benefits eligibility.,37,Junior,Male
Compensation and Benefits,Salaries are not adjusted for inflation or market trends.,43,Senior,Male
Compensation and Benefits,Bonuses are subject to subjective evaluations.,53,Manager,Male
Compensation and Benefits,Benefits don't cover essential healthcare needs.,33,Junior,Male
Compensation and Benefits,Employees with similar roles receive vastly different pay.,42,Senior,Male
Compensation and Benefits,Raises are tied to vague performance metrics.,38,Junior,Male
Compensation and Benefits,No recognition for employees' contributions through compensation.,35,Junior,Male
Compensation and Benefits,Bonuses seem arbitrary and without clear criteria.,18,Intern,Female
Compensation and Benefits,No provisions for recognizing exceptional efforts financially.,49,Senior,Male
Compensation and Benefits,Benefits offered lack flexibility for diverse needs.,40,Senior,Male
Compensation and Benefits,Raises are not discussed or offered proactively.,36,Junior,Male
Compensation and Benefits,Employees are struggling to make ends meet due to low salaries.,36,Junior,Male
Career Development,,23,Intern,Female
Career Development,Promotions are given based on favoritism.,53,Manager,Male
Career Development,No mentorship or guidance for career advancement.,58,Manager,Male
Career Development,Lack of training programs for skill development.,58,Manager,Male
Career Development,Career paths are unclear and undefined.,30,Junior,Male
Career Development,"Promotions are based on politics, not merit.",23,Intern,Female
Career Development,Career growth is stagnant due to lack of opportunities.,59,Manager,Male
Career Development,No investment in employees' professional development.,25,Junior,Female
Career Development,Leadership doesn't communicate advancement opportunities.,35,Junior,Male
Career Development,No clear structure for upward mobility.,43,Senior,Male
Career Development,Promotions are rarely based on performance.,51,Manager,Male
Career Development,Leadership doesn't foster a culture of learning.,32,Junior,Male
Career Development,No measures in place to track employees' progress.,44,Senior,Male
Career Development,Career development initiatives are nonexistent.,50,Manager,Male
Career Development,Employees are left to navigate career growth on their own.,34,Junior,Male
Career Development,Promotions favor external hires over internal talent.,60,Manager,Male
Career Development,Lack of opportunities to learn new skills.,19,Intern,Female
Career Development,Employees don't receive guidance for reaching career goals.,33,Junior,Male
Career Development,Promotions are offered without proper training.,45,Senior,Male
Career Development,Leadership doesn't recognize potential for growth.,47,Senior,Male
Career Development,Advancement opportunities are not communicated.,57,Manager,Male
Career Development,No provisions for employees to set career objectives.,44,Senior,Male
Career Development,Leadership doesn't encourage employees to explore new roles.,34,Junior,Male
Career Development,Promotions are based on seniority rather than competence.,20,Intern,Female
Career Development,No recognition for employees who seek professional development.,34,Junior,Male
Career Development,Leadership doesn't value employees' aspirations.,39,Junior,Male
Career Development,Promotion criteria are unclear and inconsistent.,39,Junior,Male
Career Development,No structured pathway for career progression.,53,Manager,Male
Career Development,Lack of access to career-related workshops or seminars.,37,Junior,Male
Career Development,Leadership doesn't provide guidance on skill acquisition.,58,Manager,Male
Workplace Environment,Equipment is often malfunctioning or outdated.,40,Senior,Male
Workplace Environment,Lack of proper ventilation affects air quality.,44,Senior,Male
Workplace Environment,Common areas are not well-maintained.,50,Manager,Male
Workplace Environment,No designated quiet spaces for focused work.,21,Intern,Female
Workplace Environment,Shared workspaces are overcrowded and chaotic.,55,Manager,Male
Workplace Environment,Temperature control is inconsistent and uncomfortable.,44,Senior,Male
Workplace Environment,Inadequate privacy for confidential discussions.,56,Manager,Male
Workplace Environment,Facilities don't cater to employees with diverse needs.,53,Manager,Male
Workplace Environment,Insufficient meeting rooms for team collaboration.,32,Junior,Male
Workplace Environment,Office layout doesn't promote creativity or well-being.,37,Junior,Male
Workplace Environment,No provisions for ergonomic furniture.,56,Manager,Male
Workplace Environment,Limited access to natural light affects our well-being.,31,Junior,Male
Workplace Environment,Noise levels are disruptive and affect concentration.,18,Intern,Female
Workplace Environment,Facilities are not properly cleaned or sanitized.,30,Junior,Male
Workplace Environment,Inadequate spaces for employees to relax or recharge.,59,Manager,Male
Workplace Environment,"Equipment repairs are slow, affecting productivity.",25,Junior,Female
Workplace Environment,Physical discomfort due to poor office conditions.,59,Manager,Male
Workplace Environment,Common spaces are neglected and uninviting.,21,Intern,Female
Workplace Environment,Office setup doesn't accommodate different work styles.,48,Senior,Male
Workplace Environment,Insufficient break areas for employees to unwind.,28,Junior,Female
Workplace Environment,Facilities lack proper accessibility features.,43,Senior,Male
Workplace Environment,Work environment negatively impacts morale and motivation.,46,Senior,Male
Workplace Environment,The office is too noisy for focused work.,31,Junior,Male
Workplace Environment,Facilities are outdated and uncomfortable.,34,Junior,Male
Workplace Environment,Cleanliness and maintenance are neglected.,57,Manager,Male
Workplace Environment,Insufficient space for collaboration or individual work.,32,Junior,Male
Workplace Environment,Resources needed for tasks are lacking.,39,Junior,Male
Workplace Environment,Unpleasant odors and poor lighting affect comfort.,49,Senior,Male
Workplace Environment,Office layout hampers efficient work processes.,33,Junior,Male
Workplace Environment,Constant interruptions hinder productivity.,56,Manager,Male
Workplace Environment,Equipment is often malfunctioning or outdated.,47,Senior,Male
Workplace Environment,Lack of proper ventilation affects air quality.,45,Senior,Male
Workplace Environment,Common areas are not well-maintained.,54,Manager,Male
Workplace Environment,No designated quiet spaces for focused work.,37,Junior,Male
Workplace Environment,Shared workspaces are overcrowded and chaotic.,22,Intern,Female
Workplace Environment,Temperature control is inconsistent and uncomfortable.,52,Manager,Male
Workplace Environment,Inadequate privacy for confidential discussions.,39,Junior,Male
Workplace Environment,Facilities don't cater to employees with diverse needs.,50,Manager,Male
Workplace Environment,Insufficient meeting rooms for team collaboration.,33,Junior,Male
Workplace Environment,Office layout doesn't promote creativity or well-being.,32,Junior,Male
Workplace Environment,No provisions for ergonomic furniture.,41,Senior,Male
Workplace Environment,Limited access to natural light affects our well-being.,45,Senior,Male
Workplace Environment,Noise levels are disruptive and affect concentration.,39,Junior,Male
Workplace Environment,Facilities are not properly cleaned or sanitized.,58,Manager,Male
Workplace Environment,Inadequate spaces for employees to relax or recharge.,60,Manager,Male
Workplace Environment,"Equipment repairs are slow, affecting productivity.",53,Manager,Male
Workplace Environment,Physical discomfort due to poor office conditions.,35,Junior,Male
Workplace Environment,Common spaces are neglected and uninviting.,24,Intern,Female
Workplace Environment,Office setup doesn't accommodate different work styles.,24,Intern,Female
Workplace Environment,Insufficient break areas for employees to unwind.,49,Senior,Male
Workplace Environment,Facilities lack proper accessibility features.,18,Intern,Female
Workplace Environment,Work environment negatively impacts morale and motivation.,29,Junior,Female
Lack of training and development,New hires are left to figure out tasks without proper training.,22,Intern,Female
Lack of training and development,No support for employees to learn new software or tools.,50,Manager,Male
Lack of training and development,Lack of opportunities for cross-training in different departments.,45,Senior,Male
Lack of training and development,Skills gap due to outdated training materials.,47,Senior,Male
