body,sender,recipient,valence
Prioritizing tasks is difficult due to unclear guidance.,sherylbecker,erichunt,3
Stress is causing high turnover in our team.,emoore,tanya44,5
I struggle to disconnect from work after hours.,mitchellhenderson,donald14,1
Flexible work arrangements aren't available.,perryamanda,kellycasey,2
Constant interruptions disrupt my focus and productivity.,ganthony,ashley25,5
Taking sick leave feels impossible due to workload.,nblackburn,yliu,1
Job roles are unclear,ramosscott,aaron56,5
Opportunities to learn new skills are limited.,troynewman,julierodriguez,2
Stress management support is inadequate.,ctaylor,zachary31,3
Workload distribution across the team is inconsistent.,uwebb,bradshawamy,2
Remote work stress is taking a toll on my well-being.,breanna84,kathleenmcdonald,2
Heavy workload is hindering career growth.,mooremelissa,pricesandra,2
Time management tools aren't effective.,deborahmartinez,browningjohn,5
My work-life balance is not respected.,ambermolina,benjamin30,3
Project expectations are communicated poorly.,irwinjoseph,chadewing,2
Working extra hours doesn't lead to recognition.,austin67,dukesteven,5
Lack of control over work hours adds to stress.,tina38,gutierrezrobert,1
Emergencies occur frequently,raymondluis,billyroberson,2
Mental health days are not offered or supported.,teresachavez,ghartman,1
Processes are inefficient and cause delays.,tsimmons,markrodriguez,5
Professional development opportunities are limited.,david84,shunter,4
Workload expectations from management are unclear.,trodriguez,swalker,2
Adequate breaks during shifts are not provided.,robert09,jennifer09,1
Declining tasks feels risky due to workload pressure.,noblejack,haleashley,3
Delegating tasks isn't supported or encouraged.,nwilson,tburke,2
Stress due to unpredictable workload is affecting my health.,antonio92,richardsontravis,3
No provisions for managing peak workloads.,collin52,edwarddavidson,3
Unpredictable workload leads to constant frustration.,denise32,clarkaustin,3
Dealing with heavy workload is impacting my performance.,joshua73,michelle87,2
Support for stress management programs is lacking.,sabrina14,shannondaniels,2
Administrative tasks take up too much time.,baileyjennifer,benjamin59,2
No relief from urgent tasks and deadlines.,robert18,qpeterson,2
Performance targets seem unattainable.,jacobsnicholas,troy53,2
Responsibilities keep piling up,williamkelley,pguerra,2
Workload distribution is uneven across team members.,gilbertanna,danielschmitt,5
Remote work stress isn't adequately addressed.,kristen90,felicia15,5
Personal commitments aren't accommodated.,greenbrandon,hjohnson,2
Opportunities for skill development are limited.,sarahburke,achurch,2
Burnout prevention measures are not in place.,donnadavenport,dalexander,2
Time management tools don't help with workload.,stephen97,hogancheryl,2
Fear of missing opportunities is causing stress.,christopher41,padillakyle,1
Handling peak workloads without support is tough.,rachelowens,christopherthornton,3
Managing complex tasks without support is stressful.,joshua72,littlecolleen,3
High-pressure tasks aren't adequately managed.,jeffreymosley,bernard39,5
No avenues for providing feedback on workload.,wayne25,grahambenjamin,1
Lack of autonomy in managing tasks adds to stress.,lorifox,rileybrandon,2
Struggling to handle work volume is affecting my performance.,bkelly,davismargaret,4
Heavy workload goes unnoticed by management.,jgomez,dustin00,2
Rapidly changing tasks lead to constant stress.,david84,brennanelizabeth,5
Not enough support for handling high-pressure tasks.,vwilliams,bethanymoore,3
No tools to effectively manage time and workload.,idaniels,dadams,2
New tasks are added without considering current load.,ywebster,davidbrooks,3
Managing workload feels impossible without proper tools.,zdelgado,alyssamarquez,3
Balancing work and family commitments is challenging.,sharonshaw,fmurray,2
No proper method for prioritizing tasks is provided.,christopherrobinson,bettysmith,3
Consistent effort goes unrecognized by management.,michael95,anneharrison,2
Peak workloads lead to inconsistency in work quality.,phillip55,kathleen69,5
Tasks keep piling up with no relief in sight.,donnadavenport,whitakersara,1
No provisions for taking short mental wellness breaks.,dponce,williammartinez,1
Managing workload during peak times is overwhelming.,mary79,haley84,2
No recognition for handling multiple projects.,wmontgomery,vbass,5
High-pressure tasks are not managed effectively.,woodsandrew,kristen52,5
Time tracking tools are not helpful in managing workload.,wattsandre,cgibson,2
Overcommitting due to fear of missing out is stressful.,briggsbryan,clee,1
Adequate support for managing deadlines is lacking.,ronaldwilson,josephwhite,3
No avenues for addressing workload concerns are available.,rebecca93,paulhowe,2
Peak workloads are not managed efficiently.,gregorywalker,ambersmith,5
Fear of underperforming due to workload pressure.,coxandrea,keithbarrett,3
Limited support for remote workers' stress.,perryamanda,elizabeth31,3
Flexible work arrangements aren't honored.,mooremelissa,karlajohnson,2
Managing workload during emergencies is stressful.,jonesdavid,christinecase,2
No channels for discussing workload challenges are provided.,matthew83,yphillips,1
Constantly managing heavy workload is leading to burnout.,floresrichard,carlwhitney,3
Fear of saying no to new tasks is adding to my stress.,april85,jonathansmith,5
Adequate support for handling peak workloads is missing.,jolson,mayerjulie,5
Lack of resources for stress management.,kingjessica,jeremybrown,3
No recognition for consistently going above and beyond.,benjaminmiller,troyclayton,5
Unpredictable workload is causing frustration.,smithnicole,deviningram,2
No provisions for managing workload peaks are in place.,robertjohnson,grantedwin,2
Leaders' lack of engagement adds to stress.,markellis,ubranch,1
Time management tools are ineffective for workload.,njenkins,carl66,2
Lack of support for managing stress-related workload.,irich,jgeorge,4
Pressure from management is affecting my well-being.,jameswong,rossandrew,2
Management is distant and lacks communication.,christinealexander,keithdavila,3
Supervisors don't provide clear directions.,suzanne11,laura79,2
Micromanagement stifles our autonomy.,torr,timothy45,5
Management doesn't support work-life balance.,rachelowens,derrick24,2
Leaders play favorites,kristen90,julierodriguez,2
Lack of support from management during challenges.,dennisphillips,odavis,3
Leadership lacks transparency in decision-making.,gilbertanna,kbrooks,1
Supervisors don't value employees' opinions.,smithrussell,denise32,1
Management lacks understanding of our roles.,uhendricks,flemingjohn,3
Leadership doesn't listen to our concerns.,dmartinez,andrewfrost,4
Frequent changes in direction disrupt our work.,mchapman,njenkins,2
Managers don't recognize our achievements.,courtneyhernandez,mayerchristopher,3
Supervisors provide inconsistent feedback.,lhernandez,trodriguez,1
Leaders are more concerned about blame than solutions.,mariamiller,jonesangelica,1
Management doesn't provide career growth opportunities.,robert77,rebecca14,2
Lack of leadership presence and involvement.,millerbarbara,creed,3
Supervisors don't provide adequate training.,rmcmillan,andersonyolanda,2
Management plays favorites,richard47,currythomas,2
Leaders don't respect our work-life balance.,wjohnson,bryanwhite,2
Micromanagement causes stress and frustration.,nhughes,hcannon,2
Managers make decisions without consulting us.,barry24,williamsheidi,3
Supervisors don't offer support during difficult times.,tdean,christopher11,3
Leadership is not transparent about company changes.,schang,vyang,1
Management doesn't address our concerns.,zbailey,kristenrose,2
Supervisors lack empathy for our challenges.,christie41,stacygreen,3
Leaders don't consider our input in decisions.,stevewillis,jeffstanley,2
Micromanagement negatively impacts our creativity.,dwhite,ycrosby,1
Managers lack understanding of our needs.,guerrakatelyn,juarezkevin,3
Supervisors don't advocate for necessary resources.,patrick01,christopherbanks,3
Leadership's lack of communication causes confusion.,clarknicholas,juanfreeman,3
Management's lack of direction hinders productivity.,mcconnelljulie,richardslisa,3
Supervisors don't value our time and effort.,heatherjohnson,uhuerta,2
Leaders focus on criticism rather than development.,allisonharris,christopherspencer,2
Managers create unnecessary bureaucracy.,qscott,perezjerry,3
Supervisors don't provide clear performance expectations.,nicholas80,anthony19,2
Leadership's inconsistent messages confuse us.,laurenramsey,wdouglas,1
Management's lack of support adds to stress.,benjaminbush,jessicabutler,3
Supervisors don't provide recognition for our work.,laura79,shirley30,5
Leaders don't foster a collaborative environment.,ashley25,grantthomas,5
Micromanagement erodes trust and motivation.,richardwright,georgeparrish,2
Managers don't acknowledge our contributions.,ryancassie,gharris,3
Supervisors don't encourage innovation.,bautistastephanie,rgibson,2
Leadership's decisions seem arbitrary and sudden.,greenjennifer,wwest,5
Management doesn't address conflicts in the team.,hcline,allendenise,2
Supervisors don't offer growth opportunities.,michaelwhite,jhanson,2
Leadership's lack of clarity leads to misunderstandings.,kathleen50,denise32,3
Managers don't lead by example.,wbenitez,jacob85,5
Supervisors don't provide enough support for growth.,byoung,noblejack,3
Leaders don't communicate company vision effectively.,justin70,wendy39,3
Micromanagement inhibits our problem-solving skills.,patricia73,laurenramsey,5
Management's lack of communication affects morale.,padkins,stevewillis,4
Supervisors don't provide timely feedback.,stuartstephanie,fpacheco,2
Leadership's lack of empathy affects team morale.,kbrown,valenciaantonio,3
Managers don't prioritize employee development.,emiller,westsusan,3
Supervisors don't promote a healthy work environment.,ethompson,uhuerta,2
Leadership's lack of appreciation leads to demotivation.,zblack,aprilarnold,3
Management's unclear expectations hinder our progress.,susan36,kyle11,2
Supervisors don't involve us in decision-making.,bettysmith,spenceholly,2
Leadership's lack of involvement in projects is noticeable.,bhancock,edwardfoster,3
Micromanagement causes us to doubt our abilities.,wwu,kellycasey,5
Management's favoritism creates a divided team.,twilliams,floreslinda,5
Supervisors don't provide opportunities for skill growth.,jeffery46,amandaball,2
Leadership's lack of communication causes rumors.,hamiltondalton,joneschristopher,3
Managers don't address conflicts within the team.,susan43,hilltiffany,5
Supervisors don't value work-life balance.,suttonamanda,kennedyjonathan,2
Leadership's inconsistency affects our job satisfaction.,brandonmarshall,brentwalker,2
Management's lack of direction creates uncertainty.,kristi30,zhorne,3
Supervisors don't provide recognition for hard work.,angela51,garciajulie,5
Leadership's lack of support hinders our progress.,bgray,bstevens,3
Micromanagement undermines our sense of ownership.,huntermelissa,ejames,3
Management's decision-making lacks transparency.,aheath,anajohnson,2
Supervisors don't address our concerns effectively.,ashleysuarez,troyclayton,2
Leadership's lack of accountability affects morale.,jacob30,jordankenneth,2
Managers don't offer opportunities for advancement.,christopher88,leonard70,2
Supervisors don't encourage open communication.,klyons,hugheskelly,3
Leadership's lack of engagement is demotivating.,sarah03,leonard70,1
Management's lack of feedback stalls our growth.,angellopez,brownstephanie,2
Supervisors don't handle conflicts in a constructive way.,christopher66,stephen17,2
Leadership's favoritism causes resentment.,donna85,megan51,5
Micromanagement stifles our creativity.,hannah31,clopez,1
Managers don't provide proper guidance.,chrismcknight,julierodriguez,3
Supervisors don't provide adequate support during challenges.,kayla04,cindyjordan,3
Leadership's decisions don't align with company values.,sean57,jameswong,5
Management's lack of direction affects our motivation.,michaelsmith,morenothomas,2
Supervisors don't promote a collaborative culture.,andrea66,travis81,5
Leadership's lack of transparency fuels uncertainty.,amandaball,hcline,3
Managers don't appreciate our contributions.,robert18,shafferruben,3
Supervisors don't foster a sense of belonging.,kbartlett,kgeorge,3
Leadership's lack of involvement hampers teamwork.,nicole43,spenceholly,1
Management's lack of understanding affects our efficiency.,frivers,jbauer,4
Supervisors don't provide opportunities for learning.,susan11,wrightsarah,2
Leadership's lack of consistency creates confusion.,daltonlisa,jonesjoseph,1
Micromanagement undermines our self-confidence.,cristian63,xrodriguez,5
Managers don't address employee concerns effectively.,oramsey,esteele,5
Supervisors don't advocate for fair treatment.,ncollins,youngevan,2
Leadership's lack of communication causes frustration.,daniel01,tburke,3
Management's lack of empathy affects team morale.,bserrano,soniahardy,2
Supervisors don't recognize our achievements.,brenda60,dnewton,3
Leadership's decisions don't reflect employee feedback.,daniel13,cory51,5
Micromanagement affects our job satisfaction negatively.,susan11,mullinstiffany,2
,trevorjones,rdominguez,2
Lack of transparency about how bonuses are determined.,joshuabooker,ywheeler,2
Benefits package doesn't cover essential needs.,nathanielprice,owensconnie,1
Gender pay gap is evident in our salaries.,mwright,flemingjohn,2
Bonuses are infrequent and don't reflect performance.,jcampbell,kevinporter,1
Raises are minimal and don't keep up with inflation.,sdavis,rebecca64,1
Benefits offered are not competitive.,charles68,fsmith,2
Salary increases are often denied without explanation.,johnsondebra,carla82,4
No clear link between performance and compensation.,qlamb,umendez,1
Leadership earns significantly more while employees struggle.,hsutton,kent85,1
Salary negotiations are met with resistance.,gwashington,danacombs,2
No avenue for discussing salary disparities.,amanda25,creed,1
No provisions for recognizing long-serving employees.,cduncan,mooremelissa,1
Raises are promised but never materialize.,vbarry,myersthomas,2
Benefits don't adequately support our well-being.,brownallen,uwiggins,3
Company fails to acknowledge cost-of-living increases.,brennanelizabeth,zblack,2
Raises are distributed unevenly across departments.,sharon98,perryamanda,2
Benefits package hasn't been updated for years.,dianacunningham,nchase,1
Lack of transparency about benefits eligibility.,smithcarmen,hharvey,2
Salaries are not adjusted for inflation or market trends.,dalexander,anneharrison,1
Bonuses are subject to subjective evaluations.,robertbender,cannonanthony,3
Benefits don't cover essential healthcare needs.,sarah92,kathleen28,1
Employees with similar roles receive vastly different pay.,edward37,angelamiller,2
Raises are tied to vague performance metrics.,melissa44,felicia11,5
No recognition for employees' contributions through compensation.,carlapeterson,sullivanallison,5
Bonuses seem arbitrary and without clear criteria.,arobertson,coxelizabeth,3
No provisions for recognizing exceptional efforts financially.,deannablack,sean49,5
Benefits offered lack flexibility for diverse needs.,hwolfe,jameslove,2
Raises are not discussed or offered proactively.,brandonhenry,kellysteven,2
Employees are struggling to make ends meet due to low salaries.,reynoldskenneth,aaron56,1
,keith19,tlynch,2
Promotions are given based on favoritism.,charles68,wcampbell,1
No mentorship or guidance for career advancement.,jmartin,kevinwillis,2
Lack of training programs for skill development.,nhayes,floresrichard,3
Career paths are unclear and undefined.,keith19,ryan06,1
Promotions are based on politics,christopher04,juarezkevin,3
Career growth is stagnant due to lack of opportunities.,joseph55,tammy69,1
No investment in employees' professional development.,pjackson,ogeorge,1
Leadership doesn't communicate advancement opportunities.,whiteholly,kevin74,2
No clear structure for upward mobility.,jessica68,amberbrown,2
Promotions are rarely based on performance.,vhoward,brandon76,1
Leadership doesn't foster a culture of learning.,mcclurechelsea,christopherspencer,2
No measures in place to track employees' progress.,wwu,dmarquez,2
Career development initiatives are nonexistent.,econway,arodriguez,3
Employees are left to navigate career growth on their own.,lhernandez,rebecca14,2
Promotions favor external hires over internal talent.,hernandezjulie,michelle87,3
Lack of opportunities to learn new skills.,hermanmindy,parkerdavid,2
Employees don't receive guidance for reaching career goals.,jamescarney,sarahburke,2
Promotions are offered without proper training.,hillshannon,jennifer95,3
Leadership doesn't recognize potential for growth.,logan85,barnettdavid,2
Advancement opportunities are not communicated.,michelle17,mmeyers,1
No provisions for employees to set career objectives.,kent85,amanda25,3
Leadership doesn't encourage employees to explore new roles.,michellestark,sanchezjustin,3
Promotions are based on seniority rather than competence.,wilsonemma,garciajennifer,3
No recognition for employees who seek professional development.,deannabell,jmitchell,5
Leadership doesn't value employees' aspirations.,monique15,foxwilliam,1
Promotion criteria are unclear and inconsistent.,gilbertanna,marie78,1
No structured pathway for career progression.,austin59,pollardcaitlin,1
Lack of access to career-related workshops or seminars.,brownsusan,cobberic,2
Leadership doesn't provide guidance on skill acquisition.,carolinevaldez,sgolden,3
Equipment is often malfunctioning or outdated.,qjones,bernard39,2
Lack of proper ventilation affects air quality.,ganthony,michael12,2
Common areas are not well-maintained.,christopher11,taylorjennifer,2
No designated quiet spaces for focused work.,guerrabrian,fergusongwendolyn,1
Shared workspaces are overcrowded and chaotic.,ashley22,vevans,2
Temperature control is inconsistent and uncomfortable.,jmarks,nicole72,1
Inadequate privacy for confidential discussions.,eevans,wmontgomery,2
Facilities don't cater to employees with diverse needs.,omitchell,nathan61,2
Insufficient meeting rooms for team collaboration.,xwhitaker,jmartin,5
Office layout doesn't promote creativity or well-being.,trodriguez,david31,1
No provisions for ergonomic furniture.,jennifercarr,murphytroy,1
Limited access to natural light affects our well-being.,clarksergio,jessica99,3
Noise levels are disruptive and affect concentration.,kent85,iflores,1
Facilities are not properly cleaned or sanitized.,wsmith,philip84,1
Inadequate spaces for employees to relax or recharge.,kvelasquez,ulucas,2
Equipment repairs are slow,haley84,jamescochran,2
Physical discomfort due to poor office conditions.,uchung,wcarr,1
Common spaces are neglected and uninviting.,rodriguezjason,ashleymoore,2
Office setup doesn't accommodate different work styles.,jmaldonado,allisonharris,2
Insufficient break areas for employees to unwind.,christinealexander,john15,2
Facilities lack proper accessibility features.,sstewart,brianacarter,3
Work environment negatively impacts morale and motivation.,elizabethmaxwell,clarkchristie,1
The office is too noisy for focused work.,wayne25,twilliams,1
Facilities are outdated and uncomfortable.,brian29,ghartman,2
Cleanliness and maintenance are neglected.,sharonharris,vrodriguez,5
Insufficient space for collaboration or individual work.,christy26,jamie34,1
Resources needed for tasks are lacking.,katie47,peter61,2
Unpleasant odors and poor lighting affect comfort.,evansbrenda,mmoore,1
Office layout hampers efficient work processes.,lawsonmichael,marcusdean,5
Constant interruptions hinder productivity.,wwu,oramsey,1
Equipment is often malfunctioning or outdated.,aaron00,christinahouse,2
Lack of proper ventilation affects air quality.,fwatson,davismargaret,2
Common areas are not well-maintained.,aheath,ddaniels,2
No designated quiet spaces for focused work.,stacygreen,jonathan47,1
Shared workspaces are overcrowded and chaotic.,hartmanjoseph,ccastillo,2
Temperature control is inconsistent and uncomfortable.,erin27,rdunlap,1
Inadequate privacy for confidential discussions.,megan51,sarah57,2
Facilities don't cater to employees with diverse needs.,tammy78,justinhubbard,2
Insufficient meeting rooms for team collaboration.,justin70,richard55,5
Office layout doesn't promote creativity or well-being.,harry20,zarroyo,1
No provisions for ergonomic furniture.,uhuerta,brianacarter,1
Limited access to natural light affects our well-being.,grahamjames,conniejackson,3
Noise levels are disruptive and affect concentration.,benjamindaniels,carlosrice,1
Facilities are not properly cleaned or sanitized.,charlesmoon,danielle47,1
Inadequate spaces for employees to relax or recharge.,arthur64,farleyheather,2
Equipment repairs are slow,walkerlauren,stoneandrew,2
Physical discomfort due to poor office conditions.,danielfields,spearsaaron,1
Common spaces are neglected and uninviting.,jessicafischer,haleashley,2
Office setup doesn't accommodate different work styles.,angela51,lutzmichael,2
Insufficient break areas for employees to unwind.,anthony63,oconnorthomas,2
Facilities lack proper accessibility features.,gregorywalker,smithjose,3
Work environment negatively impacts morale and motivation.,munozrichard,sabrina04,1
New hires are left to figure out tasks without proper training.,jamesgutierrez,malonekimberly,4
No support for employees to learn new software or tools.,smithrussell,omatthews,1
Lack of opportunities for cross-training in different departments.,cherrera,nashmichael,2
Skills gap due to outdated training materials.,ogarcia,donnadavenport,1
Employees struggle to keep up with industry trends.,rebeccaharrison,vaughnjesse,1
Management doesn't invest in professional certifications.,devonmorrison,zbrewer,2
No provision for ongoing skill development.,becky22,cisnerosjorge,1
Lack of structured training programs for career growth.,heather09,econway,2
Leadership doesn't prioritize investing in employee education.,rebeccasullivan,mcintoshdwayne,5
Competitors offer better opportunities for skill enhancement.,trevorjones,erichunt,2
Employees aren't aware of available training resources.,christopherbrown,hillchristina,2
No encouragement for employees to attend relevant workshops.,byrderic,kathleen69,1
Lack of budget allocated for employee training.,econway,tsimmons,4
Training materials are outdated and not effective.,wattsleslie,amanda25,2
Leadership doesn't support employees' pursuit of advanced degrees.,williamskimberly,ashleymoore,3
No clear plan for developing employees' leadership skills.,evansjennifer,watsonkylie,5
Lack of mentorship for employees looking to advance.,matthewmartin,vazquezgrant,5
Employees feel stagnant due to lack of new challenges.,angelasmith,fsmith,3
Company culture doesn't value continuous learning.,hansenmatthew,cruzduane,2
Opportunities for personal and professional growth are limited.,kennedyjonathan,davismargaret,2
Leadership doesn't recognize the importance of skill development.,youngcaleb,fdavis,2
No pathways for employees to move into specialized roles.,greenbrandon,robert77,3
Training programs are sporadic and inconsistent.,umelendez,christopherrhodes,1
Lack of skill development leads to decreased motivation.,sonyaperkins,nathan61,3
Leadership doesn't provide guidance for career advancement.,flynnwalter,mramirez,2
Company fails to adapt to industry changes in training.,scott97,melissa17,2
Employees don't receive feedback on their development goals.,denise32,hicksdwayne,2
No investment in leadership development programs.,donnavillegas,desiree27,3
Lack of training leads to mistakes and inefficiencies.,lcollins,aaron00,2
Leadership doesn't set clear expectations for skill improvement.,jeffreymosley,rogersjoel,2
No recognition for employees who seek self-improvement.,brownstephanie,qscott,5
Opportunities for professional networking are scarce.,padams,stephen17,5
Lack of on-the-job training for new tasks.,browndonald,mcdanielebony,2
Leadership doesn't offer financial support for skill enhancement.,qscott,clee,5
No pathways for employees to transition to different roles.,stephen37,jacktorres,3
Employees don't receive guidance on improving weaknesses.,esteele,bedwards,2
Lack of training leads to frustration and burnout.,creed,jeremiahguzman,2
Leadership doesn't provide resources for self-study.,matthewgonzalez,taylorjennifer,3
No structure for mentoring junior employees.,parkerandres,schwartzjamie,5
Employees are unsure about potential career trajectories.,matthew60,andrewdunn,5
Lack of opportunities for employees to attend industry events.,barbaraguerra,qdawson,2
Leadership's lack of support for employee skill development.,rkennedy,anajohnson,3
Company culture doesn't encourage seeking new knowledge.,janet83,xrodriguez,2
Employees' skill gaps hinder team performance.,stevewillis,donnastewart,1
Lack of training opportunities affects our competitiveness.,kyle11,brandonhenry,2
Leadership doesn't understand the importance of training.,david61,benjaminbush,2
No recognition for employees who pursue self-education.,idaniels,carlosrice,5
Opportunities for skill development are scarce.,watsonkylie,rbell,3
Lack of specialized training affects our ability to innovate.,mmeyers,valenciaantonio,2
Employees feel unsupported in their learning efforts.,jillbanks,matthewburns,2
No avenues for seeking guidance on career growth.,onealjonathan,rachelgreer,1
Lack of training affects our ability to meet project goals.,zpitts,qscott,2
Leadership's lack of involvement in employee development.,kgeorge,kathleenmcdonald,3
Employees are left to fill knowledge gaps on their own.,luismoore,heatherlowe,2
No budget allocation for employee certification programs.,umendez,rachelowens,5
Lack of training leads to turnover due to lack of growth.,lori06,annettesmith,3
Opportunities for learning new technologies are lacking.,davieszachary,jacobsnicholas,2
Leadership doesn't offer mentorship for skill improvement.,rmorris,tanyaperry,2
